address,ground_truth_label,ground_truth_source,ground_truth_evidence_type,ground_truth_date,ground_truth_independent,notes
1Pv1djEWrEvfgHkr8A27nkpLigmFYttCM3,mining,watchyourback_manual,academic_verified,,yes,
1Q4tJjH2aBr3AJrzxqa4Z3jPpf5SDgF4jK,darknet market,ofac_sdn,official_sanction,,yes,
1Q7gS7fi7R26kYRBXEcNeK7f2foi3BfkkE,scam,watchyourback_manual,academic_verified,,yes,
1QAc9S5EmycqjzzWDc1yiWzr9jJLC8sLiY,ransomware,watchyourback_manual,academic_verified,,yes,
1QHxyuLGRMHfbNPJikV4Dwhfx45HWfUMWB,darknet market,ofac_sdn,official_sanction,,yes,
1Sf6e4xQv8muMZqYPTdRFf3e5o5eWcg9F,darknet market,ofac_sdn,official_sanction,,yes,
1VayNert3x1KzbpzMGt2qdqrAThiRovi8,mining,watchyourback_manual,academic_verified,,yes,
31t4nEpcwyQJT1VuXdAoQZTT5givRDPsNP,mixer,ofac_sdn,official_sanction,,yes,
32DaxSzUhLBHY2WGSWQYiBSHnRsfQZrrRp,mixer,ofac_sdn,official_sanction,,yes,
32PsiT8itBrEF84ebdaF82yBUEcz5Wc6uY,mixer,ofac_sdn,official_sanction,,yes,
32VgTk8kGvBsqkHhkvtNooGdtqZm46jTVo,exchange,ofac_sdn,official_sanction,,yes,
32fbAZMTaQxNd2fAue1PgsiPgWfcsHBQQt,mixer,ofac_sdn,official_sanction,,yes,
32pCmCWEjwhkLwh5BgLNAeBQFp5Gi1hv81,darknet market,ofac_sdn,official_sanction,,yes,
32wdqwX3zCEX3DhAVEcKwXCEGdzgBnx1R9,exchange,ofac_sdn,official_sanction,,yes,
331TS6DyASY7iU5CRA8UryBnkPS78fP2B1,darknet market,ofac_sdn,official_sanction,,yes,
33KKjn4exdBJQkTtdWxqpdVsWxrw3LareG,mixer,ofac_sdn,official_sanction,,yes,
33fWcMdmsB2Ey4CEbVWbjGFkuevBSyP9nG,darknet market,ofac_sdn,official_sanction,,yes,
33xWfziVZesgo83U5izdNCBVTnrtBpSwK7,exchange,ofac_sdn,official_sanction,,yes,
347QFbejDBdMZFTxpmn6evvvqyXiqZTCd7,exchange,ofac_sdn,official_sanction,,yes,
34ETiHfQWEYFCCaXmEeQWVmhFH5vz2JMvd,mixer,ofac_sdn,official_sanction,,yes,
34WWXwFKAsXL9zYxbeNPaPV6vDamkjQLUo,darknet market,ofac_sdn,official_sanction,,yes,
34dxZvijpBM1YkPybczbQ7DuGuKAnULdfS,darknet market,ofac_sdn,official_sanction,,yes,
34kEYgpijvCmjvahRXXQEnBH76UGJVx2wg,mixer,ofac_sdn,official_sanction,,yes,
34kWCKF2wCbe6uinit2uL4ND6d8yxsuxKM,exchange,ofac_sdn,official_sanction,,yes,
34pFGsSYbWEritXncW9unZtQQE9dKSvKku,mixer,ofac_sdn,official_sanction,,yes,
35KAdTa2vqnJzitF2xiUzZn1Gmcas2Y465,darknet market,ofac_sdn,official_sanction,,yes,
35LScRJ8hzDvvWh9t9UA8bHGnGNVz3YEfa,darknet market,ofac_sdn,official_sanction,,yes,
35SwVFxosV3AsvnrBfzdXarqavRbvDyyxv,darknet market,ofac_sdn,official_sanction,,yes,
35aTjkBh4yeTypJsi9nuTdoMKHTsawKVgX,darknet market,ofac_sdn,official_sanction,,yes,
35eanEz5iYg2eYaxCtMrR4SCoypFqrBWUH,darknet market,ofac_sdn,official_sanction,,yes,
35hK24tcLEWcgNA4JxpvbkNkoAcDGqQPsP,exchange,watchyourback_manual,academic_verified,,yes,
35hh9dg3wSvUJz9vFk1FsezLE5Fx3Hudk2,mixer,ofac_sdn,official_sanction,,yes,
35qwVtMEohWDdBWRiCSR7azoP5cbY8SG1Q,darknet market,ofac_sdn,official_sanction,,yes,
361AkMKNNWYwZRsCE8pPNmoh5aQf4V7g4p,darknet market,ofac_sdn,official_sanction,,yes,
36XqYWGvUQwBrYLRVuegN4pJJJSPWL1WEu,mixer,ofac_sdn,official_sanction,,yes,
36YGN5dGzqrxMomTHdkT6cYVMnWBw8S7hD,exchange,ofac_sdn,official_sanction,,yes,
36fnEw56DauvD19et2DMACaJeuD4rBXSbi,exchange,watchyourback_manual,academic_verified,,yes,
36yS87PLuW7sErLg1TY26WzaVarTim7AcC,darknet market,ofac_sdn,official_sanction,,yes,
37dDBCexFPraKW4jGSqkE3NyG52YeZQbJx,darknet market,ofac_sdn,official_sanction,,yes,
37g6WgqedzZx6nx51tYgssNG8Hnknyj5nL,mixer,ofac_sdn,official_sanction,,yes,
38LjCapRrJEW7w2zwbyS15P9D9UGPjWS44,mixer,ofac_sdn,official_sanction,,yes,
38ncxqt932N9CcfNfYuHGZgCyR85hDkWBW,mixer,ofac_sdn,official_sanction,,yes,
39AALn7eTjdPzLb99hHhD6F7J8QWB3R2Rd,mixer,ofac_sdn,official_sanction,,yes,
39KQvziHwUe2vddbpfC5WkQEV72qbQhxuh,exchange,ofac_sdn,official_sanction,,yes,
39VZ9Ktio8q6GANhwhaMf7pcQ3AgZJoUGp,scam,watchyourback_manual,academic_verified,,yes,
3AFcE2mbSSndcpYFgHoExSmjUc26ef2gQh,darknet market,ofac_sdn,official_sanction,,yes,
3ANWhUnHujdwbw2jEuGSRH6bvFsD9BqEy9,mixer,ofac_sdn,official_sanction,,yes,
3AYU365Tcjef7j9pdKF9Xe8rWpEpsH196t,darknet market,ofac_sdn,official_sanction,,yes,
3AjiWiUdKB5mcGUSS9mBeoHCeYJw3Zo8r6,darknet market,ofac_sdn,official_sanction,,yes,
3B4G1M8eF3cThbeMwhEWkKzczw9QoNTGak,mixer,ofac_sdn,official_sanction,,yes,
3BCN3WgMRJwULTz1vsEQ7NZrBjwaUBf5Ca,darknet market,ofac_sdn,official_sanction,,yes,
3BQACtiMXYB9JpUMpkEWt9m8BzswpGHq4X,darknet market,ofac_sdn,official_sanction,,yes,
3BWP6ZQAhc4j5wR1b95zJAthJEFvhdees7,darknet market,ofac_sdn,official_sanction,,yes,
3BazbaTP8ELJUEfPBV9z5HXEdgBziV9p7W,mixer,ofac_sdn,official_sanction,,yes,
3CCmt5LjQ5yKkaFY1DWC2SbERVEtWRnSRD,darknet market,ofac_sdn,official_sanction,,yes,
3CcF942kYVRotGrfYQxD4QNn4aKVywpRxb,exchange,watchyourback_manual,academic_verified,,yes,
3Czhm6xqn8odwz6jgTcjRrUjog28v6aVS8,darknet market,ofac_sdn,official_sanction,,yes,
3DCCgmyKozcZkFBzYb1A2x8abZCpAUTPPk,mixer,ofac_sdn,official_sanction,,yes,
3DLGfN7hgsWXXSp9euXcnmWXLpFQuswW2t,darknet market,ofac_sdn,official_sanction,,yes,
3E7YbpXuhh3CWFks1jmvWoV8y5DvsfzE6n,exchange,ofac_sdn,official_sanction,,yes,
3EPqGUw2q89pwPZ1UF8FJspE2AyojSTjdu,mixer,ofac_sdn,official_sanction,,yes,
3ES6pqCueDPCnC4hCqhhYuey6gyiRJZw6E,darknet market,ofac_sdn,official_sanction,,yes,
3EUjqe9UpmyXCFd6jeu69hoTzndMRfxw9M,mixer,ofac_sdn,official_sanction,,yes,
3F6bbvS1krsc1qR8FsbTDfYQyvkMm3QvmR,mixer,ofac_sdn,official_sanction,,yes,
3FBgeJdhiBe22UoSpp51Vd8dPHVa2A4wZX,mixer,ofac_sdn,official_sanction,,yes,
3GAUBtrTtWp1D9yeXgr3wMg8B599QHa5m5,darknet market,ofac_sdn,official_sanction,,yes,
3GMfGEDYMTq9G8dEHet1zLtUFJwYwSNa3Y,mixer,ofac_sdn,official_sanction,,yes,
3GQcTPzm8jHspJhSHeHUUgwV9rbXonakr9,exchange,watchyourback_manual,academic_verified,,yes,
3GSXNXzyCDoQ1Rhsc7F1jjjFe7DGcHHdcM,mixer,ofac_sdn,official_sanction,,yes,
3GXdtA6kbb4M5aqzZm5qqxcFDFRMW8LqdJ,darknet market,ofac_sdn,official_sanction,,yes,
3GYbbYkvqvjF5oYhaKCgQYCvcVE1JENk6J,mixer,ofac_sdn,official_sanction,,yes,
